Item no,Brand no,Item type,Gender,Size,Price,Availability,Suggestion Priority,Suggestion Category,Checked
10017413,DKNY,DKNY Unisex Black & Grey Printed Medium Trolley Bag,Unisex,,38993.4,,1,,No
10016283,EthnoVogue,EthnoVogue Women Beige & Grey Made to Measure Custom Made Kurta Set with Jacket,Women,,19289.2,,1,,No
10009781,SPYKAR,SPYKAR Women Pink Alexa Super Skinny Fit High-Rise Clean Look Stretchable Cropped Jeans,Women,,2984.68,,1,,No
10015921,Raymond,Raymond Men Blue Self-Design Single-Breasted Bandhgala Suit,Men,,18588.68,,1,,No
10017833,Parx,Parx Men Brown & Off-White Slim Fit Printed Casual Shirt,Men,,2519.8799999999997,,1,,No
10014361,SHOWOFF,SHOWOFF Men Brown Solid Slim Fit Regular Shorts,Men,,2626.12,,1,,No
10017869,Parx,Parx Men Blue Slim Fit Checked Casual Shirt,Men,,2387.08,,1,,No
10009695,SPYKAR,SPYKAR Women Burgundy Alexa Super Skinny Fit High-Rise Clean Look Stretchable Ankle Jeans,Women,,2984.68,,1,,No
10000571,Parx,Parx Men Brown Tapered Fit Solid Regular Trousers,Men,,2204.48,,1,,No
10017421,DKNY,DKNY Unisex Black Large Trolley Bag,Unisex,,57635.2,,1,,No
10000911,Kenneth Cole,Kenneth Cole Women Navy Blue Solid Backpack,Women,,8177.16,,1,,No
10000245,Parx,Parx Men Green Printed Polo Collar T-shirt,Men,,2088.2799999999997,,1,,No
10001989,Police,Police Men To Be The King Eau De Toilette 125 ml,Men,,8947.4,,1,,No
10016727,Vishudh,Vishudh Women Maroon Printed Kurta with Palazzos,Women,,2961.44,,1,,No
10017749,Parx,Parx Men Red Slim Fit Checked Casual Shirt,Men,,2496.64,,1,,No
1000795,Being Human,Being Human Clothing Navy Printed Casual Slim Shirt,Men,,3582.2799999999997,,1,,No
10003803,Homesake,Homesake Gold-Toned & White Solid Handcrafted Table Lamp with Shade,Unisex,,5378.4,,1,,No
10012765,SEJ by Nisha Gupta,SEJ by Nisha Gupta Set of 6 Mustard & Blue Printed Table Placemats,Unisex,,2984.68,,1,,No
10014413,YAK YAK,YAK YAK Men Camel Brown Solid Polo Collar T-shirt,Men,,1988.6799999999998,,1,,No
10013483,PARFAIT,PARFAIT Plus Size Black Striped Non-Wired Lightly Padded T-shirt Bra P5252,Women,,5806.679999999999,,1,,No
10001265,Michael Kors,Michael Kors Women Sexy Amber Eau de Parfum 100ml,Women,,26294.399999999998,,1,,No
10004155,HIGHLANDER,HIGHLANDER Men Mustard & Black Slim Fit Checked Casual Shirt,Men,,2320.68,,1,,No
10012795,SEJ by Nisha Gupta,SEJ by Nisha Gupta Set of 6 Multicoloured Printed Table Placemats,Unisex,,2984.68,,1,,No
10009723,SPYKAR,SPYKAR Women Blue Adora Skinny Fit Mid-Rise Clean Look Stretchable Ankle Jeans,Women,,3980.68,,1,,No
10012853,JEWEL JUNCTION,JEWEL JUNCTION Gold-Toned Square Cufflinks,Men,,1789.48,,1,,No
10006001,ID,ID Men Tan Brown Fisherman Leather Sandals,Men,,7918.2,,1,,No
10017377,Story@home,Story@home Multicoloured Geometric 210TC Cotton 1 King Bedsheet with 2 Pillow Covers,Unisex,,3980.68,,1,,No
10015839,Raymond,Raymond Men Blue Slim Fit Printed Formal Shirt,Men,,3582.2799999999997,,1,,No
10003123,Gini and Jony,Gini and Jony Boys Navy Blue Regular Fit Solid Casual Shirt,Boys,,2320.68,,1,,No
10012767,SEJ by Nisha Gupta,SEJ by Nisha Gupta Set of 6 Printed Table Placemats,Unisex,,2984.68,,1,,No
10013041,Sera,Sera Women Blue Printed Kurta with Palazzos,Women,,4770.84,,1,,No
10014831,AccessHer,AccessHer Women Gold-Toned & Pink Gold-Plated AD-Studded Maang Tikka,Women,,3250.2799999999997,,1,,No
10017831,Parx,Parx Men Blue Slim Fit Printed Casual Shirt,Men,,2586.2799999999997,,1,,No
10002713,Alcis,Alcis Women Yellow & Blue Colorblocked Tights,Women,,2486.68,,1,,No
10006029,ID,ID Men Brown Leather Formal Slip-Ons,Men,,3173.92,,1,,No
10005903,Difference of Opinion,Difference of Opinion Men Navy Blue Solid Round Neck T-shirt With Side Strip Detail,Men,,1656.6799999999998,,1,,No
10017781,Parx,Parx Men Blue Slim Fit Checked Casual Shirt,Men,,2553.08,,1,,No
10002151,Michael Kors,Michael Kors Extreme Blue For Men Edt 70 ml,Men,,14193.0,,1,,No
10015989,Tokyo Talkies,Tokyo Talkies Women Off-White & Pink Floral Print Fit and Flare Dress,Women,,1656.6799999999998,,1,,No
10001111,ANNA SUI,ANNA SUI Women La Vie De Boheme EDT 75ml,Women,,15272.0,,1,,No
10004151,HIGHLANDER,HIGHLANDER Men Navy Blue & Maroon Slim Fit Checked Casual Shirt,Men,,2320.68,,1,,No
10007705,her by invictus,her by invictus Women Brown Solid Cushioned Mules,Women,,3466.08,,1,,No
10006041,ID,ID Men Beige Leather Derbys,Men,,8914.199999999999,,1,,No
10009621,SPYKAR,SPYKAR Women Blue Adora Skinny Fit Mid-Rise Low Distress Ankle-length Stretchable Jeans,Women,,3731.68,,1,,No
10009681,SPYKAR,SPYKAR Women Blue Adora Skinny Fit Mid-Rise Clean Look Ankle-Length Stretchable Jeans,Women,,3283.48,,1,,No
10017569,Soie,Soie Nude-Coloured Solid Non-Wired Non Padded Maternity Bra CB-331NUDE,Women,,2490.0,,1,,No
10001251,Lara Karen,Lara Karen Women Black Solid Maxi Satin Skirt,Women,,6636.679999999999,,1,,No
10003199,Gini and Jony,Gini and Jony Girls Yellow Fit and Flare Embellished Dress,Girls,,5375.08,,1,,No
10017405,Story@home,Story@home Off-White & Blue Geometric 210TC Cotton 1 King Bedsheet with 2 Pillow Covers,Unisex,,3980.68,,1,,No
10013687,PARFAIT,PARFAIT Plus Size Blue Solid Underwired Lightly Padded Plunge Bra 2801,Women,,3947.48,,1,,No
10015163,Urban Dog,Urban Dog Men Grey Solid Regular Fit Sports Shorts,Men,,1324.6799999999998,,1,,No
1000710,ahilya,ahilya Sterling Silver Textured Bangle,Women,,32389.92,,1,,No
10013541,PARFAIT,PARFAIT Plus Size Blue Solid Underwired Lightly Padded T-shirt Bra P5441,Women,,5341.88,,1,,No
10002833,VASTRAMAY,VASTRAMAY Boys Navy Blue & Maroon Solid Kurta with Dhoti Pants & Jacket,Boys,,4877.08,,1,,No
10005915,Difference of Opinion,Difference of Opinion Men Grey Melange Printed Round Neck T-shirt,Men,,1656.6799999999998,,1,,No
10002707,Campus Sutra,Campus Sutra Men White & Blue Regular Fit Colourblocked Casual Shirt,Men,,1590.28,,1,,No
10012433,FIDO DIDO,FIDO DIDO Men White Printed Round Neck T-shirt,Men,,1490.6799999999998,,1,,No
10012699,MIAH Decor,MIAH Decor Beige & Black Indian Art Printed Set of 4 Ceramic Bowls,Unisex,,4877.08,,1,,No
10012851,JEWEL JUNCTION,JEWEL JUNCTION Gold-Toned Geometric Cufflinks,Men,,1789.48,,1,,No
10016755,Vishudh,Vishudh Women Off-White & Green Floral Print A-Line Dress,Women,,4312.679999999999,,1,,No
10015159,Urban Dog,Urban Dog Men Grey Printed Regular Fit Sports Shorts,Men,,1324.6799999999998,,1,,No
10013655,PARFAIT,PARFAIT Plus Size Women Navy Blue  White Solid Low-Rise Bikini Brief PP303,Women,,1656.6799999999998,,1,,No
