id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,brandname,image_filename,image_url,price
15970,Men,Apparel,Topwear,Shirts,Navy Blue,Fall,2011,Casual,Turtle Check Men Navy Blue Shirt,Turtle,15970.jpg,file://images\15970.jpg,6228.0
39386,Men,Apparel,Bottomwear,Jeans,Blue,Summer,2012,Casual,Peter England Men Party Blue Jeans,Peter England,39386.jpg,file://images\39386.jpg,7534.0
59263,Women,Accessories,Watches,Watches,Silver,Winter,2016,Casual,Titan Women Silver Watch,Titan,59263.jpg,file://images\59263.jpg,17220.0
21379,Men,Apparel,Bottomwear,Track Pants,Black,Fall,2011,Casual,Manchester United Men Solid Black Track Pants,Manchester United,21379.jpg,file://images\21379.jpg,5863.0
53759,Men,Apparel,Topwear,Tshirts,Grey,Summer,2012,Casual,Puma Men Grey T-shirt,Puma,53759.jpg,file://images\53759.jpg,9752.0
1855,Men,Apparel,Topwear,Tshirts,Grey,Summer,2011,Casual,Inkfruit Mens Chain Reaction T-shirt,Inkfruit,1855.jpg,file://images\1855.jpg,5577.0
30805,Men,Apparel,Topwear,Shirts,Green,Summer,2012,Ethnic,Fabindia Men Striped Green Shirt,Fabindia,30805.jpg,file://images\30805.jpg,7964.0
26960,Women,Apparel,Topwear,Shirts,Purple,Summer,2012,Casual,Jealous 21 Women Purple Shirt,Jealous 21,26960.jpg,file://images\26960.jpg,8974.0
29114,Men,Accessories,Socks,Socks,Navy Blue,Summer,2012,Casual,Puma Men Pack of 3 Socks,Puma,29114.jpg,file://images\29114.jpg,1707.0
30039,Men,Accessories,Watches,Watches,Black,Winter,2016,Casual,Skagen Men Black Watch,Skagen,30039.jpg,file://images\30039.jpg,40128.0
9204,Men,Footwear,Shoes,Casual Shoes,Black,Summer,2011,Casual,Puma Men Future Cat Remix SF Black Casual Shoes,Puma,9204.jpg,file://images\9204.jpg,13067.0
48123,Women,Accessories,Belts,Belts,Black,Summer,2012,Casual,Fossil Women Black Huarache Weave Belt,Fossil,48123.jpg,file://images\48123.jpg,6485.0
18653,Men,Footwear,Flip Flops,Flip Flops,Black,Fall,2011,Casual,Fila Men Cush Flex Black Slippers,Fila,18653.jpg,file://images\18653.jpg,4704.0
47957,Women,Accessories,Bags,Handbags,Blue,Summer,2012,Casual,Murcia Women Blue Handbag,Murcia,47957.jpg,file://images\47957.jpg,22966.0
46885,Boys,Footwear,Flip Flops,Flip Flops,Navy Blue,Fall,2012,Casual,Ben 10 Boys Navy Blue Slippers,Ben 10,46885.jpg,file://images\46885.jpg,4957.0
12369,Men,Apparel,Topwear,Shirts,Purple,Fall,2011,Formal,Reid & Taylor Men Check Purple Shirts,Reid & Taylor,12369.jpg,file://images\12369.jpg,5278.0
29928,Men,Accessories,Watches,Watches,Black,Winter,2016,Casual,Police Men Black Dial Watch PL12889JVSB,Police,29928.jpg,file://images\29928.jpg,21158.0
42419,Girls,Apparel,Topwear,Tops,White,Summer,2012,Casual,Gini and Jony Girls Knit White Top,Gini and Jony,42419.jpg,file://images\42419.jpg,9123.0
51832,Women,Apparel,Innerwear,Bra,Beige,Summer,2016,Casual,Bwitch Beige Full-Coverage Bra BW335,Bwitch,51832.jpg,file://images\51832.jpg,7040.0
47359,Women,Accessories,Bags,Handbags,Brown,Summer,2012,Casual,Baggit Women Brown Handbag,Baggit,47359.jpg,file://images\47359.jpg,27249.0
17429,Men,Accessories,Watches,Watches,Black,Winter,2016,Casual,CASIO G-Shock Men Black Digital Watch G-7710-1DR G223,CASIO,17429.jpg,file://images\17429.jpg,15652.0
12967,Men,Footwear,Sandal,Sandals,Black,Fall,2011,Casual,ADIDAS Men Spry M Black Sandals,ADIDAS,12967.jpg,file://images\12967.jpg,
6842,Unisex,Accessories,Shoe Accessories,Shoe Accessories,Black,Summer,2011,Casual,Timberland Unisex Rubber Sole Brush Shoe Accessories,Timberland,6842.jpg,file://images\6842.jpg,1512.0
13089,Men,Apparel,Topwear,Sweatshirts,Grey,Fall,2011,Sports,ADIDAS Men Lfc Auth Hood Grey Sweatshirts,ADIDAS,13089.jpg,file://images\13089.jpg,5679.0
18461,Men,Personal Care,Fragrance,Deodorant,White,Spring,2017,Casual,David Beckham Signature Men Deos,David Beckham Signature,18461.jpg,file://images\18461.jpg,4992.0
9036,Men,Footwear,Shoes,Formal Shoes,Black,Winter,2011,Formal,Buckaroo Men Flores Black Formal Shoes,Buckaroo,9036.jpg,file://images\9036.jpg,12798.0
48311,Women,Accessories,Jewellery,Bracelet,Bronze,Winter,2012,Casual,Pitaraa Women Bronze Beaded Bracelet,Pitaraa,48311.jpg,file://images\48311.jpg,46503.0
7990,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,2011,Sports,Fila Men's Round Neck Navy Blue T-shirt,Fila,7990.jpg,file://images\7990.jpg,8471.0
56019,Women,Personal Care,Lips,Lipstick,Brown,Spring,2017,Casual,Colorbar Soft Touch Show Stopper Copper Lipstick 037,Colorbar,56019.jpg,file://images\56019.jpg,551.0
21977,Women,Accessories,Bags,Handbags,Brown,Winter,2015,Casual,Murcia Women Casual Brown Handbag,Murcia,21977.jpg,file://images\21977.jpg,28590.0
37812,Men,Apparel,Topwear,Shirts,Navy Blue,Summer,2012,Formal,John Players Men Navy Blue Shirt,John Players,37812.jpg,file://images\37812.jpg,3995.0
4729,Boys,Apparel,Topwear,Tshirts,Green,Summer,2011,Casual,Disney Kids Boy's Crew Sea Life Sialing Green Teen Kidswear,ID,4729.jpg,file://images\4729.jpg,6888.0
56825,Men,Apparel,Topwear,Shirts,Brown,Summer,2012,Casual,John Players Men Brown Shirt,John Players,56825.jpg,file://images\56825.jpg,6477.0
39988,Men,Footwear,Shoes,Casual Shoes,White,Winter,2014,Casual,Gas Men Europa White Shoes,Gas,39988.jpg,file://images\39988.jpg,16538.0
59051,Women,Footwear,Shoes,Flats,Black,Winter,2012,Casual,Carlton London Women Black & Gold Toned Flats,Carlton London,59051.jpg,file://images\59051.jpg,10448.0
20099,Women,Apparel,Topwear,Kurtas,Green,Fall,2011,Ethnic,Diva Women Embroided Green Kurta,Diva,20099.jpg,file://images\20099.jpg,4670.0
58183,Women,Accessories,Bags,Handbags,White,Summer,2012,Casual,Rocky S Women White Handbag,Rocky S,58183.jpg,file://images\58183.jpg,18379.0
29742,Women,Accessories,Bags,Handbags,Teal,Summer,2012,Casual,Kiara Women Teal Handbag,Kiara,29742.jpg,file://images\29742.jpg,34570.0
51658,Women,Accessories,Watches,Watches,Copper,Winter,2016,Casual,Fossil Women Copper Chronograph Watch CH2589,Fossil,51658.jpg,file://images\51658.jpg,59360.0
3954,Women,Apparel,Topwear,Tshirts,Pink,Summer,2011,Casual,Jealous 21 Women's Pink T-shirt,Jealous 21,3954.jpg,file://images\3954.jpg,5847.0
18839,Men,Accessories,Belts,Belts,Black,Fall,2011,Formal,Peter England Men Formal Black Belt,Peter England,18839.jpg,file://images\18839.jpg,7075.0
23278,Men,Accessories,Watches,Watches,Off White,Winter,2016,Casual,Maxima Ssteele Men Off White Watch,Maxima Ssteele,23278.jpg,file://images\23278.jpg,21200.0
3168,Men,Footwear,Shoes,Sports Shoes,White,Fall,2010,Sports,Nike Men's Incinerate MSL White Blue Shoe,Nike,3168.jpg,file://images\3168.jpg,10823.0
18005,Men,Apparel,Bottomwear,Shorts,Black,Summer,2011,Sports,Puma Men Long Logo Black Bermuda,Puma,18005.jpg,file://images\18005.jpg,16822.0
17871,Men,Apparel,Innerwear,Briefs,Maroon,Winter,2016,Casual,Levis Men Boxer Maroon Brief,Levis,17871.jpg,file://images\17871.jpg,6785.0
9452,Men,Apparel,Topwear,Shirts,Red,Fall,2011,Formal,John Miller Men Stripes White Red Shirts,John Miller,9452.jpg,file://images\9452.jpg,8407.0
38402,Women,Accessories,Belts,Belts,Black,Summer,2012,Casual,Baggit Women Hood Dabang Black Belt,Baggit,38402.jpg,file://images\38402.jpg,3298.0
10268,Men,Footwear,Shoes,Formal Shoes,Black,Fall,2012,Formal,Clarks Men Hang Work Leather Black Formal Shoes,Clarks,10268.jpg,file://images\10268.jpg,17119.0
